MSR_Id,MedianCarSpeed,Latitude,Longitude,Direction,Canton,Name,Direction:1,Street
CH:0769.02,,47.7224503,8.66835976,positive,SH,HERBLINGEN,positive,A 4
CH:0319.04,113.5,47.1410522,8.44602394,positive,ZG,BUONAS (AB),positive,A 4
CH:0248.04,,47.5420876,7.76009703,positive,AG,"RHEINFELDEN, AUTOBAHNZUBRINGER A3",positive,A 3
CH:0678.03,100.0,47.0836792,8.27282715,negative,LU,ANSCHL. EMMEN NORD,negative,A 2
CH:0678.04,100.0,47.083744,8.27288723,positive,LU,ANSCHL. EMMEN NORD,positive,A 2
CH:0319.02,121.0,47.1410217,8.4459095,negative,ZG,BUONAS (AB),negative,A 4
CH:0678.01,71.5999985,47.0834274,8.27382278,,LU,ANSCHL. EMMEN NORD,,A 2
CH:0561.02,42.0,47.3723679,8.41979027,,ZH,ANSCHLUSS URDORF S 1 - ZH1102,,A 4
CH:0678.02,94.0,47.0836525,8.27282619,negative,LU,ANSCHL. EMMEN NORD,negative,A 2
CH:0319.01,109.800003,47.1410065,8.44586849,negative,ZG,BUONAS (AB),negative,A 4
CH:0678.07,69.6999969,47.0838737,8.27362919,,LU,ANSCHL. EMMEN NORD,,A 2
CH:0678.08,70.8000031,47.0839005,8.27365398,,LU,ANSCHL. EMMEN NORD,,A 2
CH:0131.01,72.4000015,46.8281059,9.40422058,negative,GR,TAMINS,negative,H 19
CH:0248.02,,47.5418854,7.75970888,negative,AG,"RHEINFELDEN, AUTOBAHNZUBRINGER A3",negative,A 3
CH:0678.06,92.0,47.0838165,8.27288818,positive,LU,ANSCHL. EMMEN NORD,positive,A 2
CH:0248.03,,47.5420341,7.75982332,positive,AG,"RHEINFELDEN, AUTOBAHNZUBRINGER A3",positive,A 3
CH:0131.02,69.8000031,46.8280792,9.4042263,positive,GR,TAMINS,positive,H 19
CH:0027.01,72.5,46.7153511,8.88228989,negative,GR,DISENTIS E,negative,H 19
CH:0027.02,73.0,46.7153206,8.88231087,positive,GR,DISENTIS E,positive,H 19
CH:0528.04,100.800003,46.7300224,8.62692451,positive,UR,GURTNELLEN (AB),positive,A 2
CH:0340.05,,47.4585419,8.28537464,negative,AG,BADEN-WEST (AB) - AG1441,negative,A 1
CH:0528.01,95.8000031,46.7300987,8.62681007,negative,UR,GURTNELLEN (AB),negative,A 2
CH:0528.02,109.0,46.7300797,8.62683964,negative,UR,GURTNELLEN (AB),negative,A 2
CH:0340.07,,47.4586067,8.28535461,negative,AG,BADEN-WEST (AB) - AG1441,negative,A 1
CH:0340.02,,47.4581795,8.28518867,,AG,BADEN-WEST (AB) - AG1441,,A 1
CH:0340.04,,47.4584122,8.28536701,positive,AG,BADEN-WEST (AB) - AG1441,positive,A 1
CH:0340.03,,47.4584427,8.28535938,positive,AG,BADEN-WEST (AB) - AG1441,positive,A 1
CH:0573.03,102.599998,47.2965469,8.42879868,positive,ZH,"ISLISBERG, ISLISBERGTUNNEL S (AB) - ZH2103",positive,A 4
CH:0609.02,76.8000031,47.3790932,8.21835804,negative,AG,HENDSCHIKEN,negative,H 25
CH:0609.01,79.0,47.3791122,8.21839237,positive,AG,HENDSCHIKEN,positive,H 25
CH:0307.01,116.099998,47.4163246,9.64714527,negative,SG,OBERFAHR (AB),negative,A 13
CH:0573.02,95.5,47.2966309,8.42858791,negative,ZH,"ISLISBERG, ISLISBERGTUNNEL S (AB) - ZH2103",negative,A 4
CH:0307.02,124.0,47.4163246,9.64720249,negative,SG,OBERFAHR (AB),negative,A 13
CH:0307.03,125.0,47.4162903,9.64732933,positive,SG,OBERFAHR (AB),positive,A 13
CH:0307.04,117.0,47.4163322,9.6473732,positive,SG,OBERFAHR (AB),positive,A 13
CH:0516.03,120.699997,47.5302811,8.77274513,negative,ZH,ANSCHLUSS OBERWINTERTHUR 1 (AB),negative,A 1
CH:0516.02,117.300003,47.5302162,8.77275181,positive,ZH,ANSCHLUSS OBERWINTERTHUR 1 (AB),positive,A 1
CH:0516.01,105.599998,47.5301895,8.77277184,positive,ZH,ANSCHLUSS OBERWINTERTHUR 1 (AB),positive,A 1
CH:0516.06,78.0,47.5301895,8.77196503,,ZH,ANSCHLUSS OBERWINTERTHUR 1 (AB),,A 1
CH:0516.05,54.7999992,47.5307274,8.77410126,,ZH,ANSCHLUSS OBERWINTERTHUR 1 (AB),,A 1
CH:0281.06,,47.5231934,8.715415,negative,ZH,OHRINGEN ANSCHLUSS 1 (AB),negative,A 1
CH:0281.05,,47.523159,8.71540928,negative,ZH,OHRINGEN ANSCHLUSS 1 (AB),negative,A 1
CH:0610.02,124.0,46.8570786,9.50711346,negative,GR,"CHUR, OBERE AU (AB) - GR253",negative,A 13
CH:0610.01,115.799999,46.8570824,9.50706577,negative,GR,"CHUR, OBERE AU (AB) - GR253",negative,A 13
CH:0610.04,112.5,46.8570709,9.50725365,positive,GR,"CHUR, OBERE AU (AB) - GR253",positive,A 13
CH:0610.03,122.049999,46.8570709,9.50721455,positive,GR,"CHUR, OBERE AU (AB) - GR253",positive,A 13
CH:0281.02,110.199997,47.5229225,8.71492577,,ZH,OHRINGEN ANSCHLUSS 1 (AB),,A 1
CH:0281.01,99.3000031,47.5231285,8.71366215,,ZH,OHRINGEN ANSCHLUSS 1 (AB),,A 1
CH:0281.04,55.5,47.5231094,8.71538353,positive,ZH,OHRINGEN ANSCHLUSS 1 (AB),positive,A 1
CH:0281.03,71.1999969,47.5230751,8.71537018,positive,ZH,OHRINGEN ANSCHLUSS 1 (AB),positive,A 1
CH:0049.02,89.0,46.9763336,8.33585072,negative,NW,STANSSTAD S (AB),negative,A 2
CH:0565.03,90.3000031,47.3404617,8.4434433,negative,ZH,AESCHERTUNNEL (AB) - ZH1201,negative,A 3
CH:0049.01,80.8000031,46.9763145,8.33581638,negative,NW,STANSSTAD S (AB),negative,A 2
CH:0565.02,99.1999969,47.3405418,8.44342899,negative,ZH,AESCHERTUNNEL (AB) - ZH1201,negative,A 3
CH:0565.05,89.9000015,47.3402405,8.44348049,positive,ZH,AESCHERTUNNEL (AB) - ZH1201,positive,A 3
CH:0565.04,100.099998,47.3403091,8.44347286,positive,ZH,AESCHERTUNNEL (AB) - ZH1201,positive,A 3
CH:0760.03,64.0999985,47.3458595,8.74358654,negative,ZH,USTER O,negative,A 15
CH:0565.01,105.900002,47.3406143,8.44342995,negative,ZH,AESCHERTUNNEL (AB) - ZH1201,negative,A 3
CH:0049.04,79.9000015,46.9763908,8.33595657,positive,NW,STANSSTAD S (AB),positive,A 2
CH:0049.03,86.6999969,46.976368,8.33591461,positive,NW,STANSSTAD S (AB),positive,A 2
CH:0164.02,75.5,46.2980766,7.85094547,negative,VS,VISP W,negative,H 9
CH:0164.01,76.3000031,46.2980309,7.85094213,positive,VS,VISP W,positive,H 9
CH:0760.01,62.5999985,47.3458557,8.74349403,positive,ZH,USTER O,positive,A 15
CH:0003.01,47.5,46.1050797,8.69817543,negative,TI,BRISSAGO S,negative,H 13
CH:0565.06,77.9000015,47.3401566,8.4434948,positive,ZH,AESCHERTUNNEL (AB) - ZH1201,positive,A 3
CH:0210.01,,47.5284805,7.73766994,,BL,"AUGST S, VERZW. A2/A3 (AB)",,A 2
CH:0210.02,,47.52882,7.73723125,negative,BL,"AUGST S, VERZW. A2/A3 (AB)",negative,A 2
CH:0210.05,,47.5289574,7.73736811,positive,BL,"AUGST S, VERZW. A2/A3 (AB)",positive,A 2
CH:0210.06,,47.5287437,7.73787498,,BL,"AUGST S, VERZW. A2/A3 (AB)",,A 2
CH:0210.03,,47.5288429,7.73725605,negative,BL,"AUGST S, VERZW. A2/A3 (AB)",negative,A 2
CH:0692.02,51.0,47.0075607,9.07840347,negative,GL,"GLARUS S, MITLOEDI",negative,H 17
CH:0611.02,,46.7833862,9.41544628,positive,GR,"ROTHENBRUNNEN, TUNNEL ISLA BELLA (AB) - GR305",positive,A 13
CH:0577.03,93.4000015,47.349968,8.47027016,negative,ZH,UETLIBERGTUNNEL MITTE (AB) - ZH1207,negative,A 3
